PBO Network Velocity Field
Station,Ref_Epoch,Ref_JDay,Latitude (deg N),Longitude (deg E),Elevation (m),North Velocity (mm/yr),East Velocity (mm/yr),Vertical Velocity (mm/yr),North Std. Deviation (mm/yr),East Std. Deviation (mm/yr),Vertical Std. Deviation (mm/yr),North/East Correlation,North/Vertical Correlation,East/Vertical Correlation,First_Epoch,Last_Epoch,
AC36,20091016120000,55120.5000,60.955318,209.391652,46.4504,-6.0,-3.0,8.2,0.7,1.0,1.9,0.000,0.009,0.008,20080216000000,20091101000000
AC37,20091016120000,55120.5000,60.439688,206.134617,1626.5603,-8.5,7.6,-2.8,4.2,4.7,4.3,-0.000,0.001,0.001,20070928000000,20090719000000
AC38,20091016120000,55120.5000,57.753686,206.658128,43.8110,3.9,-6.0,10.2,0.5,0.6,1.1,0.001,0.010,0.019,20050517000000,20091101000000
AC39,20091016120000,55120.5000,58.609720,207.605927,157.1380,-5.1,0.7,9.6,0.3,0.6,1.0,0.002,0.023,0.024,20060613000000,20091101000000
AC40,20091016120000,55120.5000,56.930353,201.381429,39.8908,2.4,-8.2,5.7,0.6,0.8,1.3,0.000,0.014,0.021,20070926000000,20090925000000
AC41,20091016120000,55120.5000,55.908669,199.592695,407.7309,3.1,-7.6,0.9,0.6,0.6,1.0,0.001,0.020,0.030,20060804000000,20091101000000
AC42,20091016120000,55120.5000,54.471777,197.216348,257.8909,-2.2,-6.3,5.2,1.6,1.7,2.2,-0.001,0.003,0.009,20090813000000,20090913000000
AC42,20091016120000,55120.5000,54.471777,197.216349,257.8866,-2.2,-6.3,5.2,1.6,1.7,2.2,-0.001,0.003,0.009,20070906000000,20091101000000
AC43,20091016120000,55120.5000,59.521280,210.371265,69.5191,34.9,-13.0,2.1,0.4,0.7,1.2,0.000,0.012,0.016,20070827000000,20091101000000
AC44,20091016120000,55120.5000,61.242174,210.432875,832.1361,8.8,-12.8,15.2,1.9,1.7,3.0,-0.001,0.011,0.003,20080805000000,20091101000000
AC45,20091016120000,55120.5000,56.564454,205.819039,451.0624,27.0,-15.7,-4.6,0.4,0.7,1.0,0.001,0.019,0.021,20060621000000,20091101000000
AC46,20091016120000,55120.5000,61.986270,208.475999,619.7378,-8.6,-1.8,5.2,0.3,0.6,0.9,0.002,0.023,0.027,20060828000000,20091101000000
AC47,20091016120000,55120.5000,60.081452,207.376056,922.2562,-10.1,5.1,27.1,3.1,4.1,6.5,-0.007,0.009,0.010,20090720000000,20090913000000
AC47,20091016120000,55120.5000,60.081452,207.376056,922.3111,-10.1,5.1,27.1,3.1,4.1,6.5,-0.007,0.009,0.010,20070927000000,20091101000000
AC48,20091016120000,55120.5000,60.645863,212.656984,379.5045,41.4,-19.1,-4.5,0.5,0.6,1.7,-0.003,0.017,0.016,20071004000000,20090719000000
AC48,20091016120000,55120.5000,60.645863,212.656984,379.5142,41.4,-19.1,-4.5,0.5,0.6,1.7,-0.003,0.017,0.016,20090719000000,20090913000000
AC48,20091016120000,55120.5000,60.645863,212.656984,379.5170,41.4,-19.1,-4.5,0.5,0.6,1.7,-0.003,0.017,0.016,20070830000000,20091101000000
AC50,20091016120000,55120.5000,65.553850,195.433431,516.8094,-3.0,2.4,-3.6,1.3,1.0,3.0,-0.007,0.028,0.022,20070718000000,20091101000000
AC50,20091016120000,55120.5000,65.553850,195.433431,516.8298,-3.0,2.4,-3.6,1.3,1.0,3.0,-0.007,0.028,0.022,20080627000000,20090629000000
AC50,20091016120000,55120.5000,65.553850,195.433431,516.8309,-3.0,2.4,-3.6,1.3,1.0,3.0,-0.007,0.028,0.022,20090629000000,20090913000000
AC51,20091016120000,55120.5000,61.498084,208.164652,957.3735,-9.8,2.4,5.5,1.2,2.3,2.2,-0.001,0.008,0.004,20070911000000,20091101000000
AC51,20091016120000,55120.5000,61.498084,208.164652,957.3883,-9.8,2.4,5.5,1.2,2.3,2.2,-0.001,0.008,0.004,20080710000000,20090913000000
AC52,20091016120000,55120.5000,57.567251,202.425784,51.8134,7.2,-8.2,2.2,0.6,0.9,1.2,0.001,0.014,0.017,20070918000000,20091101000000
AC53,20091016120000,55120.5000,61.768973,209.931048,57.4647,-0.9,-5.6,4.5,0.3,0.6,1.3,0.002,0.015,0.016,20060912000000,20091101000000
AC55,20091016120000,55120.5000,62.384445,208.235413,1012.2728,7.0,60.7,-25.8,0.4,1.4,1.0,0.001,0.015,0.011,20060901000000,20091101000000
AC57,20091016120000,55120.5000,61.138597,214.257297,826.3735,28.6,-13.9,10.4,0.3,0.5,1.2,0.000,0.010,0.018,20060623000000,20091101000000
AC58,20091016120000,55120.5000,57.156089,189.782180,19.3714,-2.2,-2.6,-2.0,2.3,4.2,4.7,-0.003,-0.015,0.014,20090605000000,20090913000000
AC58,20091016120000,55120.5000,57.156089,189.782180,19.3768,-2.2,-2.6,-2.0,2.3,4.2,4.7,-0.003,-0.015,0.014,20080712000000,20091101000000
AC58,20091016120000,55120.5000,57.156089,189.782180,19.3765,-2.2,-2.6,-2.0,2.3,4.2,4.7,-0.003,-0.015,0.014,20081017000000,20090502000000
AC59,20091016120000,55120.5000,59.567198,206.414800,308.5681,-11.9,2.1,5.3,0.5,0.3,0.9,0.001,0.017,0.044,20040911000000,20091101000000
AC60,20091016120000,55120.5000,52.714620,174.076268,18.2813,18.3,-26.1,-8.9,9.7,9.3,6.8,0.001,-0.000,0.004,20090310000000,20090913000000
AC61,20091016120000,55120.5000,64.029260,217.924153,745.3874,-2.5,3.5,-4.4,0.5,0.5,1.6,0.000,0.010,0.011,20061001000000,20091101000000
AC61,20091016120000,55120.5000,64.029260,217.924153,745.3988,-2.5,3.5,-4.4,0.5,0.5,1.6,0.000,0.010,0.011,Convrt000000 C,nvrt000000
AC62,20091016120000,55120.5000,63.083607,213.687304,1347.1087,7.3,-20.5,3.8,0.3,0.5,0.7,0.001,0.019,0.029,20040713000000,20091101000000
AC63,20091016120000,55120.5000,63.502427,214.152755,815.0508,-2.5,5.1,8.3,0.6,0.6,0.8,0.000,0.007,0.020,20040712000000,20091101000000
