,,,,,,,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,Population,Housing units,Area in square miles,Area in square miles,Area in square miles,Density per square mile of land area,Density per square mile of land area
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,,Total area,Water area,Land area,Population,Housing units
0400000US06,06,California,8710000US0690016,0690016,"California - ZCTA5 90016, California","ZCTA5 90016, California",47596,17204,3.63,0.00,3.63,13122.6,4743.3
0400000US06,06,California,8710000US0690017,0690017,"California - ZCTA5 90017, California","ZCTA5 90017, California",23768,10610,0.73,0.00,0.73,32725.3,14608.5
0400000US06,06,California,8710000US0690018,0690018,"California - ZCTA5 90018, California","ZCTA5 90018, California",49310,16658,2.90,0.00,2.90,17027.6,5752.3
0400000US06,06,California,8710000US0690019,0690019,"California - ZCTA5 90019, California","ZCTA5 90019, California",64458,25116,3.89,0.00,3.89,16578.4,6459.8
0400000US06,06,California,8710000US0690020,0690020,"California - ZCTA5 90020, California","ZCTA5 90020, California",38967,17900,1.13,0.00,1.13,34474.7,15836.4
0400000US06,06,California,8710000US0690021,0690021,"California - ZCTA5 90021, California","ZCTA5 90021, California",3951,1761,2.10,0.03,2.07,1908.2,850.5
0400000US06,06,California,8710000US0690022,0690022,"California - ZCTA5 90022, California","ZCTA5 90022, California",67179,17713,4.39,0.00,4.38,15334.4,4043.2
0400000US06,06,California,8710000US0690023,0690023,"California - ZCTA5 90023, California","ZCTA5 90023, California",45903,11259,4.26,0.03,4.22,10865.9,2665.2
0400000US06,06,California,8710000US0690024,0690024,"California - ZCTA5 90024, California","ZCTA5 90024, California",47452,19932,2.94,0.00,2.94,16153.6,6785.2
0400000US06,06,California,8710000US0690025,0690025,"California - ZCTA5 90025, California","ZCTA5 90025, California",42147,23058,2.57,0.00,2.57,16402.3,8973.5
0400000US06,06,California,8710000US0690026,0690026,"California - ZCTA5 90026, California","ZCTA5 90026, California",67869,26686,4.31,0.09,4.23,16063.4,6316.1
0400000US06,06,California,8710000US0690027,0690027,"California - ZCTA5 90027, California","ZCTA5 90027, California",45151,23390,8.37,0.10,8.26,5463.8,2830.5
0400000US06,06,California,8710000US0690028,0690028,"California - ZCTA5 90028, California","ZCTA5 90028, California",28714,17126,1.52,0.00,1.52,18837.7,11235.4
0400000US06,06,California,8710000US0690029,0690029,"California - ZCTA5 90029, California","ZCTA5 90029, California",38617,14723,1.36,0.00,1.36,28358.5,10811.9
0400000US06,06,California,8710000US0690031,0690031,"California - ZCTA5 90031, California","ZCTA5 90031, California",39316,11903,3.53,0.08,3.45,11382.5,3446.1
0400000US06,06,California,8710000US0690032,0690032,"California - ZCTA5 90032, California","ZCTA5 90032, California",45786,13521,4.78,0.01,4.77,9604.3,2836.2
0400000US06,06,California,8710000US0690033,0690033,"California - ZCTA5 90033, California","ZCTA5 90033, California",48852,13690,3.30,0.03,3.27,14953.5,4190.5
0400000US06,06,California,8710000US0690034,0690034,"California - ZCTA5 90034, California","ZCTA5 90034, California",57964,27210,3.12,0.01,3.11,18620.7,8741.1
0400000US06,06,California,8710000US0690035,0690035,"California - ZCTA5 90035, California","ZCTA5 90035, California",28418,14030,2.06,0.00,2.06,13808.5,6817.3
0400000US06,06,California,8710000US0690036,0690036,"California - ZCTA5 90036, California","ZCTA5 90036, California",36865,19920,2.47,0.00,2.47,14921.9,8063.0
0400000US06,06,California,8710000US0690037,0690037,"California - ZCTA5 90037, California","ZCTA5 90037, California",62276,17192,2.84,0.00,2.84,21941.2,6057.1
0400000US06,06,California,8710000US0690038,0690038,"California - ZCTA5 90038, California","ZCTA5 90038, California",28917,12812,1.57,0.00,1.57,18459.6,8178.8
0400000US06,06,California,8710000US0690039,0690039,"California - ZCTA5 90039, California","ZCTA5 90039, California",28514,12127,3.97,0.20,3.77,7563.3,3216.7
0400000US06,06,California,8710000US0690040,0690040,"California - ZCTA5 90040, California","ZCTA5 90040, California",12520,3397,5.58,0.00,5.58,2243.3,608.7
0400000US06,06,California,8710000US0690041,0690041,"California - ZCTA5 90041, California","ZCTA5 90041, California",27425,9998,3.62,0.01,3.61,7594.5,2768.7
0400000US06,06,California,8710000US0690042,0690042,"California - ZCTA5 90042, California","ZCTA5 90042, California",62430,21018,4.68,0.03,4.64,13443.7,4526.0
0400000US06,06,California,8710000US0690043,0690043,"California - ZCTA5 90043, California","ZCTA5 90043, California",44789,17172,4.13,0.00,4.13,10835.5,4154.3
0400000US06,06,California,8710000US0690044,0690044,"California - ZCTA5 90044, California","ZCTA5 90044, California",89779,27479,5.14,0.00,5.14,17478.2,5349.6
0400000US06,06,California,8710000US0690045,0690045,"California - ZCTA5 90045, California","ZCTA5 90045, California",39480,16127,10.73,0.00,10.73,3680.9,1503.6
0400000US06,06,California,8710000US0690046,0690046,"California - ZCTA5 90046, California","ZCTA5 90046, California",48581,30688,5.78,0.00,5.78,8404.5,5309.0
0400000US06,06,California,8710000US0690047,0690047,"California - ZCTA5 90047, California","ZCTA5 90047, California",48606,17150,4.73,0.00,4.73,10275.1,3625.4
0400000US06,06,California,8710000US0690048,0690048,"California - ZCTA5 90048, California","ZCTA5 90048, California",21397,12939,1.89,0.00,1.89,11349.9,6863.4
0400000US06,06,California,8710000US0690049,0690049,"California - ZCTA5 90049, California","ZCTA5 90049, California",35482,18097,15.02,0.00,15.02,2362.1,1204.8
0400000US06,06,California,8710000US0690056,0690056,"California - ZCTA5 90056, California","ZCTA5 90056, California",7827,3518,1.58,0.00,1.58,4955.3,2227.3
0400000US06,06,California,8710000US0690057,0690057,"California - ZCTA5 90057, California","ZCTA5 90057, California",44998,17247,0.90,0.01,0.89,50810.5,19474.8
0400000US06,06,California,8710000US0690058,0690058,"California - ZCTA5 90058, California","ZCTA5 90058, California",3223,921,6.04,0.23,5.81,554.9,158.6
0400000US06,06,California,8710000US0690059,0690059,"California - ZCTA5 90059, California","ZCTA5 90059, California",40952,10617,3.33,0.02,3.31,12359.2,3204.2
0400000US06,06,California,8710000US0690061,0690061,"California - ZCTA5 90061, California","ZCTA5 90061, California",26872,7385,2.66,0.00,2.66,10093.7,2774.0
0400000US06,06,California,8710000US0690062,0690062,"California - ZCTA5 90062, California","ZCTA5 90062, California",32821,9795,1.93,0.00,1.93,16972.9,5065.3
0400000US06,06,California,8710000US0690063,0690063,"California - ZCTA5 90063, California","ZCTA5 90063, California",55758,14012,3.27,0.00,3.27,17037.6,4281.6
0400000US06,06,California,8710000US0690064,0690064,"California - ZCTA5 90064, California","ZCTA5 90064, California",25403,11540,4.00,0.00,4.00,6350.4,2884.9
0400000US06,06,California,8710000US0690065,0690065,"California - ZCTA5 90065, California","ZCTA5 90065, California",45527,15288,5.28,0.00,5.28,8624.8,2896.2
0400000US06,06,California,8710000US0690066,0690066,"California - ZCTA5 90066, California","ZCTA5 90066, California",55277,25319,4.98,0.06,4.92,11231.4,5144.4
0400000US06,06,California,8710000US0690067,0690067,"California - ZCTA5 90067, California","ZCTA5 90067, California",2424,1808,0.33,0.00,0.33,7386.9,5509.7
0400000US06,06,California,8710000US0690068,0690068,"California - ZCTA5 90068, California","ZCTA5 90068, California",22286,13901,7.80,0.18,7.62,2925.3,1824.7
0400000US06,06,California,8710000US0690069,0690069,"California - ZCTA5 90069, California","ZCTA5 90069, California",20483,14781,2.11,0.00,2.11,9688.2,6991.3
0400000US06,06,California,8710000US0690071,0690071,"California - ZCTA5 90071, California","ZCTA5 90071, California",15,0,0.12,0.00,0.12,121.7,0.0
0400000US06,06,California,8710000US0690073,0690073,"California - ZCTA5 90073, California","ZCTA5 90073, California",539,4,0.34,0.00,0.34,1591.1,11.8
